Dept : 학과		Class : 학년
City : 거주지역		S : 종합 만족도 지수
Q1 : 추천의도		Q2 : 재이용의도
Q3 : 학교일체감

Dept,Class,City,S,Q1,Q2,Q3
컴퓨터과,3학년,경기도,5.04897871858474,7,5,7
컴퓨터과,3학년,서울시,3.70050019157509,3,1.5,2.5
컴퓨터과,3학년,경기도,3.52622194164482,3,1.5,1.5
컴퓨터과,3학년,서울시,5.56628179752881,5,2.5,4
컴퓨터과,3학년,서울시,5.3916247091941,5,5,4.5
컴퓨터과,3학년,서울시,6.20709850592754,7,5.5,5.5
컴퓨터과,3학년,서울시,3.4215862574224,3.5,1,6
컴퓨터과,3학년,경기도,2.7666665708623,6.5,7,8
컴퓨터과,3학년,서울시,5.52066334658336,7,2,6
컴퓨터과,3학년,경기도,4.25053137249467,2,2,3
컴퓨터과,3학년,경기도,3.80163220035238,3,1,3.5
컴퓨터과,3학년,경기도,6.34720557979732,5,3,5
컴퓨터과,3학년,서울시,4.88809813469505,5,5,5.5
컴퓨터과,2학년,서울시,5.13523913030307,5.5,2.5,5
컴퓨터과,2학년,서울시,5.47319037126652,4.5,6,8
컴퓨터과,2학년,서울시,4.90519969118634,5,4,4.5
컴퓨터과,2학년,경기도,4.890690170264,3.5,1,3.5
컴퓨터과,2학년,서울시,4.62995526486537,5,4.5,6
컴퓨터과,2학년,경기도,5.5042861088967,6,4.5,6
컴퓨터과,2학년,서울시,5.42496843193811,6.5,1,10
컴퓨터과,1학년,서울시,4.63649016692729,6,5,7.5
컴퓨터과,1학년,경기도,4.32085871922156,4,2,4.5
컴퓨터과,1학년,경기도,4.89351690529576,7.5,4.5,9
컴퓨터과,1학년,서울시,6.9294961550239,8,7,7
컴퓨터과,1학년,서울시,4.38587768722136,4,1.5,2
컴퓨터과,1학년,경기도,5.83951108439023,7,8,6.5
컴퓨터과,1학년,경기도,4.79294760185718,4,3.5,3
컴퓨터과,1학년,서울시,3.53133068033573,3.5,2.5,3
컴퓨터과,1학년,경기도,3.87513090289937,1,1,1
컴퓨터과,1학년,서울시,3.86372781451772,3,5.5,9
컴퓨터과,1학년,서울시,5.17514426247146,4.5,2.5,6.5
컴퓨터과,1학년,서울시,4.48800812770588,5.5,4.5,5
컴퓨터과,1학년,서울시,3.87099294534934,6,3.5,5
컴퓨터과,1학년,서울시,5.53608324706278,7,6.5,10
컴퓨터과,2학년,서울시,3.09135028549118,2,1,3
컴퓨터과,2학년,경기도,3.09049269643261,2,1,7
유아교육과,1학년,서울시,4.07748159520952,5,1.5,4.5
유아교육과,1학년,서울시,6.20826148649438,7,5.5,5.5
유아교육과,1학년,경기도,5.96250872862172,6.5,5.5,7
유아교육과,1학년,서울시,3.28866249152422,3.5,1,2.5
유아교육과,1학년,경기도,3.83669206304063,3.5,2,5.5
유아교육과,2학년,서울시,3.30081875188953,3,3.5,5
유아교육과,2학년,경기도,4.72936143530901,3.5,1,3.5
유아교육과,2학년,서울시,5.49658994522442,7.5,7.5,8
유아교육과,2학년,경기도,5.68869738803202,5,5,5
유아교육과,2학년,경기도,4.30187979849256,6,3,10
유아교육과,2학년,서울시,4.26919809415836,4.5,2,4.5
유아교육과,1학년,서울시,6.85265308012506,8.5,7.5,9
유아교육과,1학년,서울시,6.256063514532,8,7,7
유아교육과,1학년,서울시,4.57647968457373,5,3.5,5
유아교육과,1학년,서울시,4.27477828775839,5,1.5,6.5
유아교육과,1학년,경기도,3.48882900853675,3,2,6
유아교육과,1학년,경기도,2.81644665656155,1,1,3
유아교육과,1학년,경기도,2.67600514230862,1,1,1
유아교육과,3학년,서울시,4.51265252326371,3,2.5,6.5
유아교육과,3학년,서울시,4.90778864755271,6,3,7
유아교육과,3학년,서울시,3.76856698404767,1.5,1,1
유아교육과,3학년,경기도,4.77586951321925,4,1,1
유아교육과,3학년,경기도,5.50112717812707,5,5.5,7
유아교육과,3학년,서울시,4.56708039220708,5.5,5,6
유아교육과,3학년,서울시,4.57094456795061,7,4,6.5
영어과,2학년,서울시,6.23206591339885,7.5,5,4
영어과,2학년,서울시,4.62436606610957,5,4,5.5
영어과,2학년,경기도,1.93989345582737,1.5,1,1
영어과,2학년,서울시,4.16527179013661,4.5,5,5
영어과,2학년,서울시,5.35007148646879,3.5,4,5
영어과,2학년,서울시,3.89615188434866,2,2,2
영어과,2학년,경기도,4.84161335022945,4,3,3.5
영어과,2학년,서울시,2.46258906516848,1.5,1,1
영어과,2학년,경기도,4.32810818149516,5,5,5
영어과,2학년,경기도,3.32172991345626,3.5,1,5.5
영어과,2학년,서울시,4.42522578761546,3,3,3
영어과,2학년,경기도,3.86825464072159,2.5,3.5,1
영어과,2학년,서울시,6.23311861659902,5,5,5.5
영어과,2학년,경기도,4.20480907623538,2,1,2
영어과,2학년,경기도,3.48471779033165,1,1,5.5
영어과,2학년,경기도,3.48962944311187,2,2,1.5
영어과,2학년,서울시,6.05947487322737,6,3,5.5
영어과,1학년,경기도,3.77659092932021,4,4,6
영어과,1학년,서울시,5.25548445345418,6.5,5.5,6
영어과,1학년,경기도,3.3876468038306,1,1,1
영어과,1학년,경기도,3.45862449308394,4,4,4
영어과,1학년,서울시,4.75735602019148,4,3,4.5
영어과,1학년,경기도,2.45624933535022,2,2,1.5
영어과,1학년,서울시,4.82800945314408,5,5,5
영어과,1학년,서울시,4.0065242505452,3,3,3
영어과,1학년,서울시,4.27535763319649,3.5,3,4
영어과,1학년,경기도,5.14282181316826,7,7,7
영어과,1학년,서울시,4.24659082827938,1,1,9
영어과,1학년,경기도,3.94477017885125,3.5,3.5,4
영어과,1학년,서울시,5.13322801851011,5,2.5,6.5
영어과,1학년,서울시,4.18313434329472,3.5,3.5,4
영어과,1학년,서울시,4.00840964147975,6,2,4.5
영어과,1학년,경기도,6.00884385526929,6,5.5,6
