"","x"
"1","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	시민사회단체들은 28일 헌법재판소가 대체복무제 없는 병역법 5조에 대해 헌법불합치 결정을 내린 것에 대해 “양심이 이겼다”면서 정치권 등에 대체복무 도입을 촉구하고 나섰다. 일부 단체들은 특정 종교에 특혜를 주는 것이라며 반발했다.국제앰네스티 한국지부, 군인권센터, 민주사회를위한변호사모임 등은 이날 오후 서울 종로구 헌재 앞에서 기자회견을 열고 헌재 결정에 대해 환영 입장을 밝혔다.이경은 국제앰네스티 한국지부 사무처장은 “한국은 병역을 거부한 이들에 대해 대체복무제를 허용치 않고 감옥에 보내는 지구상 유일한 국가”라며 “헌재 결정은 의미 있는 진전”이라고 말했다. 이어 “대체복무제를 만들기 위한 실질적, 즉각적 행동이 이뤄져야 한다”고 했다.예비군 훈련 거부자 김형수씨(29)는 “군사주의에 저항하기 위해 예비군 훈련을 거부해왔다”면서 “대체복무제가 도입된다면 저 역시 얼마든지 사회공동체에 기여할 수 있을 것”이라고 말했다.반면 반동성애기독시민연대, 바른군인권연구소 등 단체들은 같은 시간 헌재 앞 기자회견에서 “특정 종교에 특혜를 주는 것으로, 국민 상식에 용납될 수 없다”고 반대했다.일반 시민들의 의견도 엇갈렸다. 회사원 정동범씨(30)는 “양심적 병역거부자들의 경우 후방 지원 등으로 국방의 의무를 다할 수 있게 한 결정”이라면서 “이번 결정을 통해 민주국가로 한 걸음 더 나아간 것 같다”고 말했다. 반면 자영업을 하는 서종철씨(69)는 “대체복무를 하는 사람을 법으로 가려낼 수 있겠느냐”며 “특정 종교로 개종하는 악용 사례도 생길 것”이라고 우려했다.<유설희 기자 sorry@kyunghyang.com>▶ 경향신문 SNS [트위터] [페이스북] ▶ [인기 무료만화 보기]ⓒ경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
"2","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	[동아닷컴]사진=유튜버 새벽‘청와대 비서실’ 명의로 된 화환을 받았다며 인스타그램에 인증샷을 게재한 뷰티 유튜버 ‘새벽’이 28일 ‘그런 종류(명의)의 화환을 보내지 않는다’는 청와대의 설명이 나오자 “논란이 되었던 부분은 모두 반성하고 있다”면서 거듭 사과했다.새벽은 이날 자신의 인스타그램에 “불미스러운 일이 생겨 다시 한 번 사과드린다”면서 청와대 화환 논란을 다시 한 번 언급했다.새벽은 논란이 일어난 경위에 대해 “6월 25일 월요일, 마스크팩 제작업체 대표님과 함께 있었던 사무실에 (‘청와대 비서실’이라고 적힌) 해당 꽃바구니가 도착했다”면서 “신기한 마음에 사진을 찍었고, 인스타그램 업로드에 대해서는 저 역시도 조심스러운 부분이라 생각해서 별도의 허락을 구하고 확인을 받았다”고 설명했다. 화환을 받은 당사자(업체 대표)에게 올려도 좋다는 허락을 받았다는 주장.이어 “후에 저도 알고 보니, (청와대가 공식적으로 보낸 게 아닌) 청와대 직원 분 가족 개인이 발송한 꽃바구니였으며 구매하는 과정에서 개인 카드로 결제했다고 한다. 꽃바구니에 해당 직원명을 안 적은 것은 명백한 잘못이라고 인정했으며, 저 역시 허락을 받았다고 해도 다시 한 번 꼼꼼하게 확인하고 신중을 기했어야 했는데 그러지 못한 점에 대해 사과드린다”고 덧붙였다.그러면서 “위 내용은 모두 사실이며 논란이 되었던 부분은 모두 반성하고 있다”며 “이런 불미스러운 일이 더 이상 일어나지 않도록 신중해지도록 하겠다. 죄송하다”고 거듭 사과했다.앞서 25일 새벽은 자신의 인스타그램에 ‘청와대 비서실’이라는 문구가 달린 화환을 안고 있는 사진을 공개했다. 새벽은 “청와대 직원분이나 가족 분들이 개인적인 경조사를 맞이하게 되면 청와대 측에서 이러한 화환이나 선물로 축하를 해주시는 게 관례라고 한다. 그래서 마스크팩 론칭을 축하하며 이렇게 보내주신 것”이라고 주장했다. 새벽은 한 브랜드 마스크팩 제작 기획에 참여했다. 그러나 일부 누리꾼들은 청와대가 개인 사업자에게 화환을 보냈을 리 없다고 지적하며 진위 여부에 물음표를 달았다.이후 새벽은 26일 인스타그램에 “엄밀히 말하면 회사 개업식과 동일시되는 마스크팩 브랜드의 런칭 축하를 목적으로 청와대 직원 가족인 제 앞으로 (화환이) 오게 됐고 직원들과 즐거운 시간을 보내다가 찍은 사진”이라는 마스크팩 업체 대표로 추정되는 누리꾼의 글을 공유하며 “어제 제가 올렸던 청와대 출처의 꽃바구니에 대한 설명이 부족하여 오해를 불러일으키게 된 점 사과드린다. 해당 꽃바구니는 대표님과 함께 있었던 저희 사무실로 도착했고, 신기하고 감사한 마음에 허락을 받은 후 사진을 찍었다”고 사과했다.새벽의 해명에도 논란이 계속되자 김의겸 청와대 대변인은 28일 브리핑을 통해 “청와대에서는 그런 명의(‘청와대 비서실’)의 화환을 보내지 않는다”면서 “화환이나 꽃다발 같은 경우 대통령 문재인이나 또는 청와대 비서실장 임종석, 이 두 가지 명의만 꽃다발이나 화환에 사용한다”고 설명했다.정봉오 동아닷컴 기자 bong087@donga.com▶ 동아일보 단독 / 동아일보 공식 페이스북▶ 핫한 경제 이슈와 재테크 방법 총집결(클릭!)ⓒ 동아일보 & donga.com, 무단 전재 및 재배포 금지
	
	"
"3","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
       ◆기획재정부 ◇고위공무원 승진 △개발금융국장 윤태식 ◇국장급 인사 △감사관 지규택◆해양환경공단 △미래성장팀장 손규희 △기획조정실 기획예산팀장 박한식 △"" 사회가치팀장 이진규 △"" 경영성과팀장 강광구 △경영관리본부 인적자원팀장 유세종 △"" 재무회계팀장 김진서 △해양보전본부 해양보호구역팀장 이정대 △해양방제본부 예방안전팀장 최성환 △"" 방제자원팀장 고영동 △지원사업본부 사업기획팀장 김진배 △감사실 감사팀장 송복영 △여수지사장 진흥재 △울산지사장 이상열 △대산지사장 최제광 △군산지사장 이영군 △목포지사장 이병구      ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타 ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지
	
	"
"4","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
뉴스1 DB. 2017.6.22/뉴스1 ⓒ News1 이윤기 기자(울산=뉴스1) 김기열 기자 = 정부의 근로시간 단축 조치에도 불구하고 울산지역 시내버스는 정상 운행된다.  울산시는 무제한 근로가 허용되던 시내버스 업계가 근로기준법 개정으로 '특례업종'에서 제외됨에 따라 오는 7월 1일부터 주 68시간으로 근로시간이 제한된다고 28일 밝혔다.     또 근로자 고용인원 규모(300인 이상)에 따라 내년 7월 1일부터는 점차적으로 주간 근로시간 52시간 적용 제한도 받게 된다.    울산 시내버스는 편도 운행시간이 긴 시외버스와 달리 짧은 노선에 대부분 1일 2교대로 운행되고 있어 주간 근로시간은 평균 54시간 정도이다. 이에 근로시간이 68시간으로 단축돼도 버스운행 횟수 감소 또는 중단 사태는 일어나지 않을 것으로 전망된다. 하지만 근로시간 단축으로 전국의 노선버스 업계가 비상이 걸린 만큼 시는 적극적이고 유연한 노선관리에 나설 계획이다.특히 향후 2021년까지 점차적으로 근로시간이 52시간 제한 적용을 받게 되면 운전인력 확보가 관건인 만큼 승무원 확보에도 비상이 걸렸다.    버스업계에 따르면 지난해말 노사 합의로 기사정년을 61세까지 연장해 42명을 확보한 데다 최근 90여명의 기사를 추가 확보해 근로시간 단축에 대비하고 있다.    시는 근로시간 단축과 별개로 다음달부터 신설 아파트 단지, 이용불편지역, 운행효율화를 위해 신축적 노선변경으로 시민들의 이용불편을 해소할 방침이다.한편 현재 울산시의 시내버스는 865가 운행하고 있으며, 1930여명의 기사들이 156개의 노선에서 시민의 발 역할을 수행하고 있다.kky060@news1.kr▶ [뉴스1] 채널설정하기 ▶ 제보하기▶ 2018 러시아 월드컵 기사보기[ⓒ 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]
	
	"
"5","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
【구미=뉴시스】박홍식 기자 = 취임 인사 차 경북 구미시청을 찾은 구미상공회의소 조정문(왼쪽 여섯번째) 회장이 28일 시청 탄소산업관을 둘러본 뒤 이묵 구미시장 권한대행과 기념사진을 찍고 있다. 2018.06.28phs6431@newsis.com[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다."
"6","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	[서울신문]헌재, ‘양심적 병역거부’ 처벌 관련 판결 - 이진성 헌법재판소장을 비롯한 헌법재판관들이 28일 오후 서울 종로구 헌법재판소 대심판정에서 양심적 병역거부 허용 여부 선고를 하기 위해 자리에 앉아 있다. 헌재는 양심적 병역거부 처벌에 대해서는 합헌, 대체 복무제가 없는 병역법은 헌법불합치 판결을 내렸다. 2018.6.28 연합뉴스‘병역거부자가 양심적이면, 군대에 가는 사람은 비양심인가요.종교와 양심을 이유로 병역을 거부한 이들을 위한 대체복무를 정하지 않은 병역법 조항은 헌법에 어긋난다는 헌법재판소 결정이 28일 나오며 ’양심적 병역거부자‘ 용어가 적절한지 논란이 재점화됐다. 청와대 국민청원엔 이날 ’양심적 병역거부 용어를 바꿔주세요‘란 제목으로 “병역의 의무를 다하는 젊은이들은 비양심적이란 말인가요”라는 내용의 주장이 올라왔다.헌재는 이날 결정문을 통해 이같은 의문에 대해 응답했다. 헌재는 “일상생활에서 ’양심적‘ 병역거부라는 말은 병역거부가 ’양심적‘, 즉 도덕적이고 정당하다는 것을 가리킴으로써 그 반면으로 병역의무를 이행하는 사람은 ’비양심적‘이거나 ’비도덕적‘인 사람으로 치부하게 될 여지가 있다”고 인정했다. 헌재는 또 “하지만 헌법상 양심형성의 자유는 내심에 머무르는 한, 절대적으로 보호되는 기본권이라 할 수 있다”면서 “이 때 양심적 병역거부는 양심을 이유로 한 병역거부를 가리키는 것일 뿐이지 병역거부가 도덕적이고 정당하다는 의미는 아닌 것”이라고 설명했다.헌재는 “양심적 병역거부라는 용어를 사용한다고 하여 병역의무이행은 비양심적이 된다거나, 병역을 이행하는 거의 대부분의 병역의무자들과 병역의무이행이 국민의 숭고한 의무라고 생각하는 대다수 국민들이 비양심적인 사람들이 되는 것은 결코 아니다”라고 단언했다. 이어 “양심적 병역거부자들은 병역의무를 단순히 거부하는 것이 아니라 자신의 양심을 지키면서도 국민으로서 국방의 의무를 다할 수 있도록 집총 등 군사훈련을 수반하는 병역의무를 대신하는 제도를 마련해 달라고 국가에 호소하고 있다”며 양심적 병역거부자와 병역기피자 사이의 차이를 설명했다.류재민 기자 phoem@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
	
	"
"7","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	(청주=연합뉴스) 이승민 기자 = 충북에서 몰래카메라를 이용한 성범죄가 한해 100건 가까이 발생한 것으로 나타났다.[충북지방경찰청 제공 = 연합뉴스]28일 충북지방경찰청에 따르면 최근 5년(2013∼2017년)간 몰카 관련 성범죄는 총 478건이다.    한 해 평균 95.6건의 몰카 범죄가 발생한 셈이다.    지난해 발생한 몰카 범죄는 96건이다. 이 중 스마트폰을 이용한 불법 촬영이 89건(92.7％)를 차지했다.    지역별로는 청주 68.1％, 충주·제천 15％로 주로 도심에 집중됐다.    충북 경찰은 화장실 칸막이 하단을 통한 불법 촬영을 방지하기 위해 공용화장실 39곳에 '안심스크린' 297개를 설치했다.     또 버스터미널, 물놀이 시설 등에 있는 화장실 412곳을 점검해 50곳에 대한 시설 개선을 권고했다.    경찰은 여름 휴가철인 내달 1일부터 8월 31일까지 계곡·유원지 등에 경찰관 38명을 배치해 피서지 성범죄 예방 활동을 벌인다.    경찰 관계자는 ""여성의 불안감을 해소하기 위해 관련 기관과 협력해 몰카 관련 범죄를 근절하겠다""고 말했다.    logos@yna.co.kr▶기사제보 및 문의▶뉴스가 보여요 - 연합뉴스 유튜브<U+00A0><U+00A0>▶2018 러시아 월드컵의 모든 것
	
	"
"8","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
       ▲추영애씨 별세·김은정씨(한국예탁결제원 IT전략부 차장) 모친상=27일 칠곡경북대학교병원, 29일 오전 5시30분. (053)200-2500      ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타 ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지
	
	"
"9","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	경향신문 사진기자들이 ‘오늘’ 한국의 사건사고·이슈 현장을 포착한 보도사진 [경향이 찍은 오늘] 6월28일입니다.■ “평화가 이겼다”28일 오후 서울 종로구 헌법재판소 앞에서 열린 기자회견에서 참가자들이 헌재의 ‘양심적 병역거부’와 관련한 판결과 대체 복무제 마련을 촉구하는 구호를 외치고 있다. 헌재는 양심적 병역거부 처벌에 대해서는 합헌, 대체 복무제가 없는 병역법은 헌법불합치 판결을 내렸다. / 권도현 기자 lightroad@kyunghyang.com‘양심적 병역거부자’들을 위한 대체복무제를 적시하지 않은 병역법 제5조가 헌법에 어긋난다는 헌법재판소 결정이 나왔습니다. 국회는 내년 12월31일까지 대체복무제를 도입하는 방향으로 이 조항을 개정해야 합니다. ■‘드루킹’ 특검, 첫 강제수사 댓글조작 의혹 관련 드루킹 김모씨가 조사를 받기 위해 28일 오후 서울 서초구 특검 사무실로 출석하고 있다. 2018.6.28/이준헌 기자‘드루킹 댓글조작 사건’을 수사 중인 허익범 특별검사팀이 첫 강제수사를 벌였습니다. 특검팀은‘드루킹’ 김모씨(49) 등이 수감된 서울구치소 수감실과 이 사건의 변호인 2명의 사무실을 압수수색했습니다. ■ 조양호 회장, 검찰청에 수백억 원대 상속세 탈루 등 비리 의혹을 받는 조양호 한진그룹 회장이 28일 서울 남부지검으로 출석하고있다. / 이준헌 기자 ifwedont@수백억 원대 상속세 탈루 및 횡령·배임 등 비리 의혹을 받는 조양호 한진그룹 회장이 28일 검찰 조사를 받았습니다. 조 회장은 부친인 조중훈 전 회장의 외국 보유 자산을 물려받는 과정에서 수백억 원의 상속세를 납부하지 않은 혐의를 받습니다. 또 일감 몰아주기로 인한 횡령 혐의와 대한항공 기내 면세품 납품 과정에서 부당이득을 챙긴 혐의도 있습니다. ■ “사법 적폐 청산”양승태 사법농단 대응을 위한 시국회의 참가자들이 28일 서울 정동 프란치스코 교육회관에서 시국선언 기자회견을 열고 사법농단 관련 공동대응 계획을 발표하고 있다. /강윤중 기자노동·종교·학계 단체들이 양승태 사법부의 사법 농단에 대한 진상규명과 책임자 처벌을 촉구했습니다. 이들은 “검찰 수사가 시작됐지만, 대법원의 비협조로 수사는 더디게 진행되고 있다”며 “피해자들에 대한 피해 복구 논의는 시작도 못 했다”고 밝혔습니다. ■ 비정규직 없는 ‘철도의 날’ 올까2018 철도의 날 기념식이 열린 28일 서울 종로구 세종문화회관 앞에서 철도노조 조합원들이 비정규직 철폐를 요구하는 손팻말을 들고 구호를 외치고 있다. / 권도현 기자 lightroad@kyunghyang.com28일 ‘철도의 날’ 기념식이 열렸습니다. 지난해까지 철도의 날 행사는 9월 18일에 열렸는데요. 9월 18일은 일제 잔재가 짙은 까닭에 올해부터 6월 28일로 바뀌었습니다. 일제 잔재를 없애는 노력은 하고 있는데, KTX 해고 승무원 문제는 언제 해결될까요.  ■ 정말 고생했어요.축구대표팀 손흥민이 27일 오후(현지시간) 러시아 카잔 아레나에서 열린 2018 러시아월드컵 F조 최종전 독일과의 경기에서 2-0으로 승리한 뒤 신태용 감독과 포옹하며 눈물을 쏟아내고 있다./ 김창길 기자선수들에게 박수를 보냅니다.<곽희양 기자 huiyang@kyunghyang.com>▶ 경향신문 SNS [트위터] [페이스북] ▶ [인기 무료만화 보기]ⓒ경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
"10","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
빗썸 가상화폐 도난(CG) [연합뉴스TV 제공](서울=연합뉴스) 구정모 기자 = 가상화폐(암호화폐) 거래소 빗썸은 해킹으로 인한 피해를 잠정 집계한 결과 189억4천600만원으로 줄었다고 28일 밝혔다.     지난 20일 해당 사실을 처음 공지했을 당시 피해액은 350억원이었다.    해킹 피해를 본 가상화폐는 모두 11종이다. 이중 비트코인이 138억9천700만원으로 피해 규모가 가장 컸고, 리플 27억1천300만원, 이더리움 10억8천500만원, 비트코인캐시가 5억4천900만원이었다.     빗썸은 암호화폐 재단, 전 세계 암호화폐 거래소와 협업해 탈취당한 암호화폐 일부를 되찾아 피해 규모가 줄었다고 설명했다.     또 해킹 당일 한국인터넷진흥원(KISA)에 신고하면서 피해액을 보수적으로 최대 규모로 잡은 측면도 있었다고 덧붙였다.     빗썸은 이번 사태로 거래소 이용에 불편을 겪은 고객들에게 보상하는 차원으로 별도의 공지가 있을 때까지 매일 거래수수료 무료 쿠폰 1매씩을 주기로 했다.     또 출금중단 보상을 신청한 회원들에게 회원이 보유한 암호화폐에 대한 에어드랍(무료배당)을 실시한다.     신청일로부터 별도 공지가 있는 날까지 일별 보유 화폐 시세의 연이율 10%에 해당하는 금액을 암호화폐로 준다는 것이다.     빗썸 관계자는 ""가상화폐 거래의 보안과 서비스 안정화를 위해 최선을 다하고 있다""고 말했다.     pseudojm@yna.co.kr▶기사제보 및 문의▶뉴스가 보여요 - 연합뉴스 유튜브<U+00A0><U+00A0>▶2018 러시아 월드컵의 모든 것
	
	"
