date,temp,lowest_temp,highest_temp,rain,humidity,total_sun,snow,cloud
2014-01-01,4,0.3,7.9,0,51.3,6.4,,2.1
2014-01-02,1.5,-1.3,6.2,,35.4,9,,0.3
2014-01-03,2.3,-1.1,7.3,,54.4,2.7,,4.6
2014-01-04,-0.1,-3.7,5.6,,47.1,8.7,,0.9
2014-01-05,-0.8,-4.3,3.8,,48.4,8,,2.1
2014-01-06,0.8,-3.7,6.4,,50.4,8.1,,3.1
2014-01-07,3,0.3,5.5,0,56,0,,8.5
2014-01-08,0.5,-5.7,4,0,56.6,3.5,,7.4
2014-01-09,-7.8,-10.4,-4.3,,26.3,9.3,,0
2014-01-10,-4.7,-9.3,-0.9,0,48.6,4.4,,3.1
2014-01-11,-1.7,-5.4,2.4,,44.1,6.4,,4.5
2014-01-12,-2.4,-7.7,2.5,0,43.5,6.4,,2.5
2014-01-13,-6.2,-10.5,-1.6,,26,9.3,,0
2014-01-14,-4.3,-8.9,1.1,,33.8,9.1,,0
2014-01-15,-2.9,-7.6,2.2,,42,9,,0.9
2014-01-16,0.1,-4,3.6,,59.9,1.1,,6.8
2014-01-17,-0.1,-3.7,3.8,,55.9,6.2,,1.8
2014-01-18,-2.2,-4.9,0.8,,42.4,8.4,,0.4
2014-01-19,-2.6,-7.4,2.4,0,44.8,6.2,,4.9
2014-01-20,-1.5,-4.2,1.9,5.3,83.3,0,5.3,9.6
2014-01-21,-5.5,-7.2,-3.1,0.7,62.6,3.1,6.1,5.3
2014-01-22,-3.9,-9.5,1.6,,60,9,4.5,1
2014-01-23,-0.8,-5.2,4.1,,65.6,5.8,3.8,3.4
2014-01-24,3,-1.1,5.7,,64.4,0,2.5,8.5
2014-01-25,4.2,-0.4,6.3,3,74.4,0,,7
2014-01-26,-2.1,-5.3,2.3,,42.1,9.5,,0
2014-01-27,0.2,-5.4,6,,48,8.7,,1.6
2014-01-28,1.5,-3,4.6,0.5,52.8,8.1,,3.6
2014-01-29,2.2,-5.3,8.2,,40.1,7.9,,4.3
2014-01-30,4,-1,6.5,3.5,66.1,0.9,,5.8
2014-01-31,1.3,-4.3,7,,26.1,9.2,,1
2014-02-01,4.9,3.7,6,11,63.8,0,,9.6
2014-02-02,4.9,2.8,6.5,0.5,91.6,0,,8.9
2014-02-03,-3.5,-8.2,2.8,,38.5,4.6,,2.6
2014-02-04,-7.4,-10.5,-3.7,,25.9,9.7,,0.1
2014-02-05,-4.8,-8.9,0.3,,27.5,7.2,,4.5
2014-02-06,-1.3,-5.2,4.5,,29.8,6.7,,5
2014-02-07,2.4,-2,7.6,0,47.3,5.2,,8.4
2014-02-08,0.2,-1.5,2.5,4.3,79.4,0.9,5.8,9.8
2014-02-09,-1.6,-3.4,0.7,0.2,76.5,1.6,5.8,8
2014-02-10,-0.1,-2.9,4.4,0.2,55,6,4,4.5
2014-02-11,0.2,-3.8,5.2,,42.1,9.7,,0.8
2014-02-12,1.2,-2,5.1,0,49.3,5.1,,4.4
2014-02-13,1.9,-2.1,6.5,,46.1,6.5,,5.6
2014-02-14,2.7,-0.7,7.6,,47.3,6.8,,4
2014-02-15,2.7,-1.9,8.5,,54.6,9.8,,0.4
2014-02-16,2.8,-1.1,8.1,,53.3,2.9,,5.8
2014-02-17,4.2,0.9,8.5,,45.5,3.2,,6.4
2014-02-18,2.5,0.3,5.4,,45.9,3.1,,5.3
2014-02-19,2.1,-1.9,6.7,,48.6,8.1,,3.5
2014-02-20,1.2,-1.2,5.5,,61.5,7.8,,0.9
2014-02-21,0.9,-4,6.9,,49.1,10.1,,0
2014-02-22,2.2,-2.1,7.4,,49.3,9.4,,1.4
2014-02-23,3.1,-1.8,8.5,,50.6,7.3,,0
2014-02-24,4.1,-0.3,9.3,,58,6.3,,0
2014-02-25,5.7,0.6,12.3,,59.9,8,,0
2014-02-26,8.4,1.4,16.4,,44.9,8.2,,1
2014-02-27,7.7,3.8,13.1,,55.4,5.4,,4.8
2014-02-28,6.7,1.3,12.3,,58.8,4.3,,6.3
2014-03-01,6,3.3,9.4,,61.1,1,,8.1
2014-03-02,4.5,-0.2,10.1,,46.4,10.5,,0.6
2014-03-03,5.2,-1,11.9,,34.4,10.4,,0
2014-03-04,6.3,2.2,12.3,,48,6.3,,5.5
2014-03-05,1.4,-1.4,5.3,0,44.8,10.7,,0.5
2014-03-06,0.3,-3,5,0,43.4,9.6,,1.9
2014-03-07,-0.6,-4.6,4.3,,45.9,10.6,,1.8
2014-03-08,2,-2.2,7,,55,7.4,,5.1
2014-03-09,1.4,-1.6,4.8,2.2,56.4,9.9,1.9,3.4
2014-03-10,1.5,-3.6,7.7,,50.4,11.1,,0
2014-03-11,4.5,-0.9,9.4,,65,4.3,,2.5
2014-03-12,6.9,4,9.5,0.2,75.8,0.9,,8.6
