,time,month,age,temp,lowest_temp,highest_temp,humidity,total_sun,air_pressure,daily_temp_diff,suicide,delayed_unemployment,sex_0,sex_1,marriage_1,marriage_2,marriage_3,marriage_4,job_1,job_2,job_3,job_5,job_6,job_7,job_8,job_9,job_10,edu_1,edu_2,edu_3,edu_4,edu_5,edu_6
0,8,1,73,4.0,0.3,7.9,51.3,6.4,1003.6,7.6,1,2.7,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,12,1,79,4.0,0.3,7.9,51.3,6.4,1003.6,7.6,1,2.7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2,15,1,69,4.0,0.3,7.9,51.3,6.4,1003.6,7.6,1,2.7,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3,17,1,85,4.0,0.3,7.9,51.3,6.4,1003.6,7.6,1,2.7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4,11,1,76,4.0,0.3,7.9,51.3,6.4,1003.6,7.6,1,2.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
426,10,1,65,1.5,-1.3,6.2,35.4,9.0,1010.4,7.5,1,2.7,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
557,15,1,72,1.5,-1.3,6.2,35.4,9.0,1010.4,7.5,1,2.7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
561,14,1,74,1.5,-1.3,6.2,35.4,9.0,1010.4,7.5,1,2.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
562,21,1,74,1.5,-1.3,6.2,35.4,9.0,1010.4,7.5,1,2.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
589,8,1,94,1.5,-1.3,6.2,35.4,9.0,1010.4,7.5,1,2.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
